id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
11;ctrl;wt;f;4;D;hemispheres;44.296;128365.660
11;ctrl;wt;f;4;E;hemispheres;40.858;284375.105
11;ctrl;wt;f;4;F;hemispheres;42.626;107623.545
11;ctrl;wt;f;5;A;vermis;41.841;204609.546
11;ctrl;wt;f;5;B;vermis;36.834;251443.751
11;ctrl;wt;f;5;C;hemispheres;40.571;307893.405
11;ctrl;wt;f;5;D;hemispheres;44.285;167682.577
11;ctrl;wt;f;5;E;hemispheres;40.935;298649.013
11;ctrl;wt;f;5;F;hemispheres;36.941;130268.173
11;ctrl;wt;f;6;A;vermis;42.965;189878.563
11;ctrl;wt;f;6;B;vermis;34.68;96594.704
11;ctrl;wt;f;6;C;hemispheres;42.517;250576.826
11;ctrl;wt;f;6;D;hemispheres;45.473;203174.228
11;ctrl;wt;f;6;E;hemispheres;44.414;274282.341
11;ctrl;wt;f;6;F;hemispheres;42.978;203246.753
11;ctrl;wt;f;7;A;vermis;36.045;171148.592
11;ctrl;wt;f;7;C;hemispheres;40.961;210858.492
11;ctrl;wt;f;7;D;hemispheres;45.931;189809.411
11;ctrl;wt;f;7;E;hemispheres;41.151;209168.494
11;ctrl;wt;f;7;F;hemispheres;37.375;287640.412
11;ctrl;wt;f;8;A;vermis;40.107;151288.582
11;ctrl;wt;f;8;B;vermis;38.702;293496.374
11;ctrl;wt;f;8;C;hemispheres;35.235;309494.012
11;ctrl;wt;f;8;D;hemispheres;45.292;258810.929
11;ctrl;wt;f;8;E;hemispheres;39.841;372012.144
11;ctrl;wt;f;8;F;hemispheres;39.251;406296.171
11;ctrl;wt;f;9;A;vermis;40.408;184150.784
11;ctrl;wt;f;9;B;vermis;32.101;625758.138
11;ctrl;wt;f;9;C;hemispheres;41.124;487849.553
11;ctrl;wt;f;9;D;hemispheres;39.233;336363.636
11;ctrl;wt;f;9;E;hemispheres;33.602;338920.560
11;ctrl;wt;f;9;F;hemispheres;41.986;366341.710
11;ctrl;wt;f;10;A;vermis;46.76;278286.389
11;ctrl;wt;f;10;B;vermis;27.007;274160.904
11;ctrl;wt;f;10;C;hemispheres;48.241;450563.333
11;ctrl;wt;f;10;D;hemispheres;42.794;261167.145
11;ctrl;wt;f;10;E;hemispheres;27.606;124850.734
11;ctrl;wt;f;10;F;hemispheres;47.252;448574.802
11;ctrl;wt;f;11;A;vermis;41.652;193805.026
11;ctrl;wt;f;11;B;vermis;32.758;202916.175
11;ctrl;wt;f;11;C;hemispheres;46.548;139964.581
11;ctrl;wt;f;11;D;hemispheres;48.687;390114.691
11;ctrl;wt;f;11;E;hemispheres;36.199;184609.546
11;ctrl;wt;f;11;F;hemispheres;43.04;314945.185
11;ctrl;wt;f;12;A;vermis;32.17;127987.856
11;ctrl;wt;f;12;B;vermis;34.942;154828.808
11;ctrl;wt;f;12;C;hemispheres;47.435;152506.325
11;ctrl;wt;f;12;D;hemispheres;45.32;313700.455
11;ctrl;wt;f;12;E;hemispheres;41.983;305341.542
11;ctrl;wt;f;12;F;hemispheres;44.997;238573.115
11;ctrl;wt;f;13;A;vermis;39.832;126125.822
11;ctrl;wt;f;13;B;vermis;39.14;201526.396
11;ctrl;wt;f;13;C;hemispheres;49.057;342293.810
11;ctrl;wt;f;13;D;hemispheres;49.228;235075.055
11;ctrl;wt;f;13;E;hemispheres;48.137;464555.574
11;ctrl;wt;f;13;F;hemispheres;51.474;180428.403
11;ctrl;wt;f;14;A;vermis;37.552;259659.302
11;ctrl;wt;f;14;B;vermis;46.054;160947.883
11;ctrl;wt;f;14;C;hemispheres;55.019;253320.965
