hist_id,slice,side,part ID,structure,area,psa_ncam
6368,2,l,1,CA1 SLM,9369,19.026
6368,2,l,1,CA4 pyr,33422,16.373
6368,2,l,1,DG PL hilus,16315,19.649
6368,2,l,1,DG-ML,26429,19.108
6368,2,p,1,CA1 SLM,19310,19.624
6368,2,p,1,CA4 pyr,26205,17.137
6368,2,p,1,DG PL hilus,21825,19.552
6368,2,p,1,DG-ML,74466,20.548
6368,3,l,1,CA1 SLM,15136,17.593
6368,3,l,1,CA4 pyr,24325,15.404
6368,3,l,1,DG PL hilus,48548,17.393
6368,3,l,1,DG-ML,54829,18.418
6368,3,p,1,CA1 SLM,16472,21.35
6368,3,p,2,CA4 pyr,47441,14.51
6368,3,p,1,DG PL hilus,40088,20.156
6368,3,p,1,DG-ML,95632,19.876
6368,4,l,1,CA1 SLM,11353,19.809
6368,4,l,1,CA4 pyr,25448,15.294
6368,4,l,2,DG PL hilus,51203,18.621
6368,4,l,2,DG-ML,57627,20.103
6368,4,p,1,CA1 SLM,17421,20.788
6368,4,p,2,CA4 pyr,27932,12.195
6368,4,p,1,DG PL hilus,42422,15.864
6368,4,p,1,DG-ML,105824,17.9
6368,5,l,2,CA1 SLM,23994,17.036
6368,5,l,2,CA4 pyr,20906,13.523
6368,5,l,2,DG PL hilus,38536,13.536
6368,5,l,2,DG-ML,71656,15.653
6368,5,p,1,CA1 SLM,6143,18.67
6368,5,p,2,CA4 pyr,19145,13.765
6368,5,p,1,DG PL hilus,33254,14.751
6368,5,p,1,DG-ML,97747,15.918
6368,6,l,1,CA1 SLM,22861,19.147
6368,6,l,2,CA4 pyr,43776,13.068
6368,6,l,1,DG PL hilus,39899,16.767
6368,6,l,1,DG-ML,34331,16.219
6368,6,p,2,CA1 SLM,12464,16.434
6368,6,p,2,CA4 pyr,17344,14.622
6368,6,p,2,DG PL hilus,39781,15.468
6368,6,p,2,DG-ML,142474,14.824
6368,7,l,2,CA1 SLM,51763,26.727
6368,7,l,2,CA4 pyr,12545,21.385
6368,7,l,2,DG PL hilus,39676,22.933
6368,7,l,2,DG-ML,83818,24.106
6368,7,p,2,CA1 SLM,24856,17.652
6368,7,p,2,CA4 pyr,30017,14.294
6368,7,p,1,DG PL hilus,44593,14.553
6368,7,p,2,DG-ML,98018,16.058
6368,8,l,1,CA1 SLM,13459,17.024
6368,8,l,1,CA4 pyr,26448,15.834
6368,8,l,1,DG PL hilus,32115,17.93
6368,8,l,1,DG-ML,181714,15.597
6368,8,p,1,CA1 SLM,26628,14.886
6368,8,p,2,CA4 pyr,31181,14.164
6368,8,p,1,DG PL hilus,56892,17.338
6368,8,p,1,DG-ML,173899,15.915
6368,9,l,1,CA1 SLM,20634,14.189
6368,9,l,1,CA4 pyr,18850,14.305
6368,9,l,1,DG PL hilus,53576,15.486
6368,9,l,1,DG-ML,185500,14.759
6368,9,p,1,CA1 SLM,55235,14.751
6368,9,p,1,CA4 pyr,35646,16.085
6368,9,p,1,DG PL hilus,69573,17.842
6368,9,p,1,DG-ML,105686,14.065
6368,10,l,1,CA1 SLM,20005,14.68
6368,10,l,2,CA4 pyr,45547,14.274
6368,10,l,1,DG PL hilus,68799,16.16
6368,10,l,1,DG-ML,182007,14.425
