id mito,id,sex,genotype,treatment,normalisation,region,Sample,M_plus_G,D,c,P,S,Fccp,Rot,Ama,As/Tm,Azd,C_iv,b,out,out_susp
EM118,76,f,wt,eda,cs,hippocampus,190.5583562,633.2551233,2003.481205,2164.831233,3075.252493,6564.25611,9854.641973,3491.792548,0,19394.81096,2716.128658,16678.6823,,,
EM153,96,f,wt,eda,cs,hippocampus,,,,,,,,,,,,,,,
EM154,96,f,wt,eda,cs,hippocampus,118.6909091,527.8283636,1274.542545,1497.780364,2475.311273,5966.208727,9493.282182,3437.449455,0,22527.448,6196.530909,16330.91709,,,
EM161,121,f,wt,eda,cs,hippocampus,,,,,,,,,,,,,,,
EM162,121,f,wt,eda,cs,hippocampus,,,,,,,,,,,,,,,
EM165,122,f,wt,eda,cs,hippocampus,,,,,,,,,,,,,,,
EM166,122,f,wt,eda,cs,hippocampus,,,,,,,,,,,,,,,
EM89,64,m,sca,ctrl,cs,hippocampus,90.07328571,359.8341429,1080.238286,1216.991143,1733.949,4918.534714,8268.010714,3065.653714,0,18254.06571,3785.635286,14468.43043,,,
EM90,64,m,sca,ctrl,cs,hippocampus,0,401.0385,1141.6095,1308.898,1735.19,5061.1295,7847.914,3214.734,18.598,18255.6625,4120.2815,14135.381,,,
EM113,75,m,sca,ctrl,cs,hippocampus,274.4644138,556.0969655,1155.308276,1205.365655,1484.662759,5152.948552,7671.870207,3022.928276,0,19784.29986,3308.971448,16475.32841,,,
EM114,75,m,sca,ctrl,cs,hippocampus,209.1422069,509.1277241,1080.348828,1338.021931,1682.711586,5086.606345,7548.112552,2987.115724,0,18468.01448,3115.178483,15352.836,,,
EM129,86,m,wt,ctrl,cs,hippocampus,32.096,457.232,1841.749778,1998.792,3547.537333,7035.62,11349.744,3589.349778,0,21125.02356,3615.665778,17509.35778,,,
EM130,86,m,wt,ctrl,cs,hippocampus,18.14445283,433.2883019,1636.942189,1774.892377,3499.185057,7388.171774,11388.75804,3724.131623,0,22177.15562,3605.434415,18571.72121,,,
EM137,88,m,sca,ctrl,cs,hippocampus,28.14384,648.21408,2191.35984,2211.09072,3520.70544,6275.91312,8890.86672,2787.60288,0,9788.05872,3283.80432,6504.2544,,,
