id,sex,genotype,treatment,tissue,cs,mereni
55,M,wt,ctrl,cerebellum,0.008088235,b
56,M,wt,ctrl,cerebellum,0.016544118,a
56,M,wt,ctrl,cerebellum,0.016911765,b
57,M,wt,ctrl,cerebellum,0.009068627,a
57,M,wt,ctrl,cerebellum,0.009803922,b
58,M,wt,ctrl,cerebellum,0.01372549,a
58,M,wt,ctrl,cerebellum,0.012990196,b
59,M,wt,eda,cerebellum,0.011764706,a
59,M,wt,eda,cerebellum,0.008455882,b
60,M,wt,eda,cerebellum,0.013602941,a
60,M,wt,eda,cerebellum,0.006985294,b
61,M,wt,eda,cerebellum,0.008455882,a
61,M,wt,eda,cerebellum,0.007352941,b
62,M,wt,eda,cerebellum,0.008088235,a
62,M,wt,eda,cerebellum,0.007352941,b
63,M,wt,eda,cerebellum,0.012132353,a
63,M,wt,eda,cerebellum,0.010661765,b
64,M,wt,eda,cerebellum,0.009558824,a
64,M,wt,eda,cerebellum,0.008823529,b
65,M,sca,eda,cerebellum,0.015441176,a
65,M,sca,eda,cerebellum,0.015441176,b
66,M,sca,eda,cerebellum,0.01127451,a
66,M,sca,eda,cerebellum,0.007843137,b
67,M,sca,eda,cerebellum,0.009191176,a
68,M,sca,eda,cerebellum,0.011029412,a
68,M,sca,eda,cerebellum,0.010294118,b
69,M,sca,eda,cerebellum,0.011029412,a
69,M,sca,eda,cerebellum,0.010784314,b
70,F,wt,eda,cerebellum,0.011397059,a
70,F,wt,eda,cerebellum,0.008823529,b
71,F,wt,eda,cerebellum,0.011764706,a
71,F,wt,eda,cerebellum,0.009068627,b
72,F,wt,eda,cerebellum,0.015686275,a
72,F,wt,eda,cerebellum,0.012745098,b
73,M,sca,ctrl,cerebellum,0.019117647,a
73,M,sca,ctrl,cerebellum,0.009068627,b
74,M,sca,ctrl,cerebellum,0.012254902,a
74,M,sca,ctrl,cerebellum,0.012009804,b
75,M,sca,ctrl,cerebellum,0.010784314,a
75,M,sca,ctrl,cerebellum,0.0125,b
76,M,sca,ctrl,cerebellum,0.010539216,a
76,M,sca,ctrl,cerebellum,0.01127451,b
77,M,sca,ctrl,cerebellum,0.010294118,a
77,M,sca,ctrl,cerebellum,0.01004902,b
