id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
11;ctrl;wt;f;6;E;hemispheres;14.851;53184.348
11;ctrl;wt;f;6;F;hemispheres;19.190;30133.243
11;ctrl;wt;f;7;A;vermis;12.542;73577.332
11;ctrl;wt;f;7;C;hemispheres;14.306;72276.944
11;ctrl;wt;f;7;D;hemispheres;17.475;51462.304
11;ctrl;wt;f;7;E;hemispheres;14.902;45688.986
11;ctrl;wt;f;7;F;hemispheres;16.440;52059.369
11;ctrl;wt;f;8;A;vermis;14.447;38677.686
11;ctrl;wt;f;8;B;vermis;13.605;37093.945
11;ctrl;wt;f;8;C;hemispheres;12.215;56557.598
11;ctrl;wt;f;8;D;hemispheres;20.150;55016.023
11;ctrl;wt;f;8;E;hemispheres;14.073;80878.732
11;ctrl;wt;f;8;F;hemispheres;15.938;52474.279
11;ctrl;wt;f;9;A;vermis;13.030;47972.677
11;ctrl;wt;f;9;B;vermis;11.228;63506.494
11;ctrl;wt;f;9;C;hemispheres;14.205;53646.483
11;ctrl;wt;f;9;D;hemispheres;17.008;77630.292
11;ctrl;wt;f;9;E;hemispheres;12.394;122136.954
11;ctrl;wt;f;9;F;hemispheres;17.165;63420.476
11;ctrl;wt;f;10;A;vermis;15.908;75184.685
11;ctrl;wt;f;10;B;vermis;9.282;55032.889
11;ctrl;wt;f;10;C;hemispheres;18.895;74835.554
11;ctrl;wt;f;10;D;hemispheres;20.732;67488.615
11;ctrl;wt;f;10;E;hemispheres;12.489;83877.551
11;ctrl;wt;f;10;F;hemispheres;19.824;75150.953
11;ctrl;wt;f;11;A;vermis;17.120;67060.213
11;ctrl;wt;f;11;B;vermis;14.114;44452.690
11;ctrl;wt;f;11;C;hemispheres;18.150;46469.894
11;ctrl;wt;f;11;D;hemispheres;18.315;102099.848
11;ctrl;wt;f;11;E;hemispheres;14.574;54284.028
11;ctrl;wt;f;11;F;hemispheres;17.499;113405.296
11;ctrl;wt;f;12;A;vermis;14.177;49188.733
11;ctrl;wt;f;12;B;vermis;14.691;34240.175
11;ctrl;wt;f;12;C;hemispheres;19.342;50834.879
11;ctrl;wt;f;12;D;hemispheres;19.522;42536.684
11;ctrl;wt;f;12;E;hemispheres;16.115;76135.942
11;ctrl;wt;f;12;F;hemispheres;19.563;66301.231
11;ctrl;wt;f;13;A;vermis;14.357;73349.637
11;ctrl;wt;f;13;B;vermis;13.756;44715.804
11;ctrl;wt;f;13;C;hemispheres;
11;ctrl;wt;f;13;D;hemispheres;18.049;40232.754
11;ctrl;wt;f;13;E;hemispheres;23.950;59266.318
11;ctrl;wt;f;13;F;hemispheres;21.995;38679.373
11;ctrl;wt;f;14;A;vermis;17.273;42540.057
11;ctrl;wt;f;14;B;vermis;17.820;30163.603
11;ctrl;wt;f;14;C;hemispheres;20.909;29529.432
11;ctrl;wt;f;14;D;hemispheres;18.695;29824.591
13;eda;sca;m;1;C;hemispheres;12.983;65697.419
13;eda;sca;m;1;D;hemispheres;18.317;45898.128
13;eda;sca;m;1;E;hemispheres;16.543;80807.893
13;eda;sca;m;1;F;hemispheres;19.058;69075.729
13;eda;sca;m;2;C;hemispheres;11.365;105056.502
13;eda;sca;m;2;D;hemispheres;15.884;56284.365
13;eda;sca;m;2;E;hemispheres;10.792;71835.048
13;eda;sca;m;2;F;hemispheres;13.352;49816.158
13;eda;sca;m;3;A;vermis;12.583;29897.116
13;eda;sca;m;3;B;vermis;8.600;30492.495
13;eda;sca;m;3;C;hemispheres;11.076;119566.537
13;eda;sca;m;3;D;hemispheres;12.874;47712.936
13;eda;sca;m;3;E;hemispheres;10.911;114675.325
13;eda;sca;m;3;F;hemispheres;12.266;42811.604
13;eda;sca;m;4;A;vermis;12.051;88021.589
13;eda;sca;m;4;B;vermis;8.158;127458.256
13;eda;sca;m;4;C;hemispheres;13.380;152433.800
13;eda;sca;m;4;D;hemispheres;16.286;58168.325
13;eda;sca;m;4;E;hemispheres;10.312;45181.312
13;eda;sca;m;4;F;hemispheres;17.507;47979.423
13;eda;sca;m;5;A;vermis;9.401;123769.607
13;eda;sca;m;5;B;vermis;6.544;148316.748
13;eda;sca;m;5;C;hemispheres;10.358;81092.933
13;eda;sca;m;5;D;hemispheres;12.966;56483.387
13;eda;sca;m;5;E;hemispheres;13.692;79709.900
13;eda;sca;m;5;F;hemispheres;11.144;56513.746
13;eda;sca;m;6;A;vermis;11.163;63929.836
13;eda;sca;m;6;B;vermis;10.853;58669.253
13;eda;sca;m;6;C;hemispheres;13.001;78557.936
13;eda;sca;m;6;D;hemispheres;10.818;77785.461
13;eda;sca;m;6;E;hemispheres;10.390;69770.619
13;eda;sca;m;6;F;hemispheres;14.290;63359.757
13;eda;sca;m;7;A;vermis;13.042;91489.290
13;eda;sca;m;7;B;vermis;8.767;200639.231
13;eda;sca;m;7;C;hemispheres;10.935;48654.073
13;eda;sca;m;7;D;hemispheres;13.883;73228.200
13;eda;sca;m;7;E;hemispheres;14.780;60136.617
13;eda;sca;m;7;F;hemispheres;13.716;52030.697
13;eda;sca;m;8;A;vermis;14.730;136098.836
13;eda;sca;m;8;B;vermis;8.977;41003.542
13;eda;sca;m;8;C;hemispheres;11.915;41308.821
13;eda;sca;m;8;D;hemispheres;13.847;73486.254
13;eda;sca;m;8;E;hemispheres;12.551;54449.317
13;eda;sca;m;8;F;hemispheres;15.628;59725.080
13;eda;sca;m;9;A;vermis;9.278;70119.750
13;eda;sca;m;9;B;hemispheres;9.912;53675.156
13;eda;sca;m;9;C;hemispheres;11.700;64343.060
13;eda;sca;m;9;D;hemispheres;15.342;43096.644
13;eda;sca;m;9;E;hemispheres;11.547;67004.554
13;eda;sca;m;9;F;hemispheres;12.361;83826.952
13;eda;sca;m;10;A;vermis;12.201;56859.504
13;eda;sca;m;10;C;hemispheres;12.720;49900.489
13;eda;sca;m;10;D;hemispheres;16.757;70484.061
13;eda;sca;m;10;E;hemispheres;12.330;38448.305
13;eda;sca;m;10;F;hemispheres;14.528;57404.284
13;eda;sca;m;11;A;vermis;12.160;80264.800
13;eda;sca;m;11;C;hemispheres;16.071;33781.413
13;eda;sca;m;11;D;hemispheres;19.141;53223.140
13;eda;sca;m;11;E;hemispheres;10.843;20472.255
13;eda;sca;m;11;F;hemispheres;13.674;58635.520
13;eda;sca;m;12;A;vermis;17.659;25125.654
13;eda;sca;m;12;B;vermis;16.346;19956.148
13;eda;sca;m;12;C;hemispheres;23.285;25953.786
13;eda;sca;m;12;D;hemispheres;18.405;27544.274
13;eda;sca;m;12;E;hemispheres;23.776;34906.392
13;eda;sca;m;13;A;vermis;17.549;38542.756
13;eda;sca;m;13;B;vermis;17.043;12300.557
13;eda;sca;m;13;C;hemispheres;22.868;26471.580
13;eda;sca;m;13;D;hemispheres;22.824;33251.813
13;eda;sca;m;13;E;hemispheres;27.168;31580.368
15;ctrl;sca;f;1;C;hemispheres;19.270;30838.253
15;ctrl;sca;f;1;D;hemispheres;22.950;16237.139
15;ctrl;sca;f;1;E;hemispheres;19.003;43611.064
15;ctrl;sca;f;1;F;hemispheres;20.589;49477.146
15;ctrl;sca;f;2;A;vermis;24.462;7444.763
15;ctrl;sca;f;2;B;vermis;22.270;5928.487
15;ctrl;sca;f;2;C;hemispheres;15.922;51789.509
15;ctrl;sca;f;2;D;hemispheres;20.584;36935.402
15;ctrl;sca;f;2;E;hemispheres;14.124;30613.932
15;ctrl;sca;f;2;F;hemispheres;18.455;24240.175
15;ctrl;sca;f;3;A;vermis;18.745;13477.821
15;ctrl;sca;f;3;B;vermis;12.960;25414.066
15;ctrl;sca;f;3;C;hemispheres;14.692;69033.564
15;ctrl;sca;f;3;D;hemispheres;14.164;53472.761
15;ctrl;sca;f;3;E;hemispheres;16.986;61509.529
15;ctrl;sca;f;3;F;hemispheres;16.018;37515.601
15;ctrl;sca;f;4;A;vermis;18.363;25500.084
15;ctrl;sca;f;4;B;vermis;13.159;49674.481
15;ctrl;sca;f;4;C;hemispheres;14.743;74412.211
15;ctrl;sca;f;4;D;hemispheres;17.200;46282.678
15;ctrl;sca;f;4;E;hemispheres;14.930;70374.431
15;ctrl;sca;f;4;F;hemispheres;14.763;54840.614
15;ctrl;sca;f;5;A;vermis;19.269;22927.981
15;ctrl;sca;f;5;B;vermis;18.555;42902.682
15;ctrl;sca;f;5;C;hemispheres;15.505;51708.551
15;ctrl;sca;f;5;D;hemispheres;15.071;42826.784
15;ctrl;sca;f;5;E;hemispheres;17.832;65977.399
15;ctrl;sca;f;5;F;hemispheres;18.272;33020.745
15;ctrl;sca;f;6;A;vermis;22.264;126400.742
15;ctrl;sca;f;6;B;vermis;14.202;55670.433
15;ctrl;sca;f;6;C;hemispheres;15.856;65488.278
15;ctrl;sca;f;6;D;hemispheres;16.222;33100.017
15;ctrl;sca;f;6;E;hemispheres;14.257;94800.135
15;ctrl;sca;f;6;F;hemispheres;18.115;67203.576
15;ctrl;sca;f;7;A;vermis;20.085;95017.710
15;ctrl;sca;f;7;B;vermis;16.412;173098.330
15;ctrl;sca;f;7;C;hemispheres;13.259;105889.695
15;ctrl;sca;f;7;D;hemispheres;15.129;55594.535
15;ctrl;sca;f;7;E;hemispheres;12.591;76564.345
15;ctrl;sca;f;7;F;hemispheres;15.350;69316.917
15;ctrl;sca;f;8;A;vermis;19.884;84300.894
15;ctrl;sca;f;8;B;vermis;8.348;30313.712
15;ctrl;sca;f;8;C;hemispheres;17.226;32884.129
15;ctrl;sca;f;8;D;hemispheres;20.465;56358.576
15;ctrl;sca;f;8;E;hemispheres;13.239;94025.974
15;ctrl;sca;f;8;F;hemispheres;16.849;79472.086
15;ctrl;sca;f;9;A;vermis;18.452;38896.947
15;ctrl;sca;f;9;B;vermis;22.764;33789.847
15;ctrl;sca;f;9;C;hemispheres;13.029;44968.797
15;ctrl;sca;f;9;D;hemispheres;20.284;80362.624
15;ctrl;sca;f;9;E;hemispheres;13.672;58832.855
15;ctrl;sca;f;9;F;hemispheres;17.106;73413.729
15;ctrl;sca;f;10;A;vermis;21.175;52965.087
15;ctrl;sca;f;10;B;vermis;21.201;71303.761
15;ctrl;sca;f;10;C;hemispheres;12.268;47466.689
15;ctrl;sca;f;10;D;hemispheres;15.467;68293.135
