id,treatment,genotype,sex,sugar_water_ratio,immobile_min,speed_95th,distance_01,distance_02,distance_03,distance_04,distance_05,distance_06,distance_07,distance_08,distance_09,distance_10,inactivity_01,inactivity_02,inactivity_03,inactivity_04,inactivity_05,inactivity_06,inactivity_07,inactivity_08,inactivity_09,inactivity_10,thigmo_propdist,center_propdist,center_avedist,thigmo_proptime,center_proptime,center_avetime,kurva_index,t_session1,t_session2,t_session3,t_session4,t_session5,t_session6,t_session7,t_session8,t_session9,t_session10,t_session11,t_session12,grip_strength1,grip_strength2,grip_strength3,grip_strength4,Run_Average_Speed_(cm/s)_Mean,Run_Average_Speed_(cm/s)_SD,RF_Stand_(s)_Mean,RF_Stand_(s)_SD,RF_Swing_(s)_Mean,RF_Swing_(s)_SD,RF_SwingSpeed_(cm/s)_Mean,RF_SwingSpeed_(cm/s)_SD,RF_StrideLength_(cm)_Mean,RF_StrideLength_(cm)_SD,RH_Stand_(s)_Mean,RH_Stand_(s)_SD,RH_Swing_(s)_Mean,RH_Swing_(s)_SD,RH_SwingSpeed_(cm/s)_Mean,RH_SwingSpeed_(cm/s)_SD,RH_StrideLength_(cm)_Mean,RH_StrideLength_(cm)_SD,LF_Stand_(s)_Mean,LF_Stand_(s)_SD,LF_Swing_(s)_Mean,LF_Swing_(s)_SD,LF_SwingSpeed_(cm/s)_Mean,LF_SwingSpeed_(cm/s)_SD,LF_StrideLength_(cm)_Mean,LF_StrideLength_(cm)_SD,LH_Stand_(s)_Mean,LH_Stand_(s)_SD,LH_Swing_(s)_Mean,LH_Swing_(s)_SD,LH_SwingSpeed_(cm/s)_Mean,LH_SwingSpeed_(cm/s)_SD,LH_StrideLength_(cm)_Mean,LH_StrideLength_(cm)_SD,StepSequence_CA_(%),StepSequence_CB_(%),StepSequence_AA_(%),StepSequence_AB_(%),StepSequence_RA_(%),StepSequence_RB_(%),StepSequence_RegularityIndex_(%),BOS_FrontPaws_Mean_(cm),BOS_HindPaws_Mean_(cm),OtherStatistics_Average_Speed_Mean,OtherStatistics_Average_Speed_SD,PrintPositions_RightPaws_Mean_(cm),PrintPositions_LeftPaws_Mean_(cm),Support_Zero_(%),Support_Single_(%),Support_Diagonal_(%),Support_Girdle_(%),Support_Lateral_(%),Support_Three_(%),Support_Four_(%)
114,eda,wt,m,3.962138085,2.2365,25.83299217,575.7853394,519.0649918,613.8732997,597.8365866,673.5317911,538.5818663,475.2722321,376.2528374,344.6134291,462.8211335,0.081279147,0.054,0.062666667,0.123333333,0.052,0.098,0.170666667,0.244666667,0.392,0.280883368,0.61141046,0.062451559,21.44315541,0.725266667,0.0394,23.2896502,0.838053705,50,100,75,100,100,100,0,25,25,0,50,75,1,0.5,0.5,0.6,35.34753359,13.95806673,0.131718335,0.062356269,0.108783745,0.040622777,82.10211585,40.86168483,7.483551432,1.338128113,0.095819356,0.046917189,0.151009523,0.063160185,57.82741977,25.37955587,7.402768038,1.381010333,0.124590723,0.062352013,0.112771152,0.044812687,79.52134918,36.57043693,7.582726907,1.26147621,0.088406445,0.043050708,0.155006503,0.066162924,56.91721016,25.4229946,7.45208577,1.357371367,12.90322581,25.80645161,16.12903226,45.16129032,0,0,99.2,1.296051754,2.219554488,35.49667725,13.90535663,0.320588235,0.36,0.458015267,21.22137405,66.71755725,5.190839695,2.13740458,4.27480916,0
115,eda,sca,m,1.843225084,2.423166667,21.08241299,415.2469884,257.5856602,336.3439683,457.7243771,440.9598594,259.3981228,336.6979427,249.3137097,277.6896784,265.0319347,0.099933378,0.490666667,0.350666667,0.128,0.126,0.438,0.310666667,0.445333333,0.344666667,0.334023464,0.688085666,0.038624632,22.37202362,0.799333333,0.0174,23.46940358,0.830074712,50,75,100,100,75,100,0,0,25,0,0,0,1.1,0.6,0.8,0.8,26.60711347,10.09081964,0.146762322,0.103625454,0.092089621,0.026180145,72.45050099,38.56929017,6.054802171,1.88027037,0.135100069,0.091963449,0.112128619,0.034007548,56.2793442,20.89935592,6.167194682,1.929122953,0.147920344,0.090792331,0.092666064,0.02835849,72.09656717,30.04551225,6.147183896,1.648607176,0.098627839,0.093583821,0.143169918,0.042263244,46.30959326,22.76049763,6.024510228,1.828438645,9.677419355,38.70967742,0,51.61290323,0,0,96.875,1.156105119,2.15044117,26.49960691,9.68756921,0.215625,0.559375,0,8.177905308,61.54949785,6.743185079,2.582496413,12.76901004,8.177905308
119,eda,sca,m,3.737333333,1.3655,22.88390409,531.9705245,600.0262731,329.5883167,488.1530637,386.9046846,116.8391872,353.5807542,460.7424326,432.7772905,210.7388861,0.091938708,0.084666667,0.503333333,0.188666667,0.361333333,0.897333333,0.481333333,0.192666667,0.213333333,0.661145618,0.728906921,0.041532551,22.72372994,0.821533333,0.024466667,24.29528354,0.827495406,25,75,50,75,100,50,0,50,25,50,50,75,0.8,1,1,0.9,23.79135109,3.547760849,0.158028234,0.025572115,0.135341787,0.023378866,53.30089391,9.85089306,7.01099668,0.432793424,0.124496183,0.028572008,0.168931103,0.024189484,42.35023606,6.161671162,7.022306934,0.331983798,0.165966535,0.032425686,0.12795521,0.016740913,55.78545409,7.915812545,7.020155777,0.39073889,0.122053931,0.028990766,0.173601608,0.024758519,40.91383786,6.06582229,6.971144952,0.429540662,21.21212121,39.39393939,6.060606061,33.33333333,0,0,98.50746269,1.012709138,2.171625407,23.61508305,3.548385973,0.7,0.554285714,0,13.92857143,73.92857143,4.047619048,1.785714286,6.30952381,0
123,ctrl,sca,f,4.001477105,1.467666667,29.22917832,1056.393878,694.2456359,650.1569789,513.3238452,635.1790241,566.1058227,712.4809523,724.577494,685.5390682,713.1856465,0.004,0.118871726,0.172715054,0.265532544,0.278557114,0.221333333,0.123333333,0.102096011,0.128044537,0.054621849,0.725035277,0.048041447,23.20787643,0.808405856,0.027254942,24.68891096,0.677835336,75,75,75,100,100,100,0,0,0,0,0,0,1.3,0.7,0.8,1,28.70032609,11.517479,0.136625181,0.034608152,0.118005805,0.0218285,62.48879232,19.27205331,7.01609479,0.923246738,0.111745317,0.032771761,0.143493592,0.028677638,50.54180906,14.24035871,6.942809203,1.05479385,0.145118534,0.037391771,0.116252173,0.027884958,63.50361524,21.37266257,6.896236052,0.93797821,0.098593451,0.030840669,0.164385603,0.030345068,44.20003295,13.68637111,6.920765252,0.958210362,8.823529412,29.41176471,8.823529412,52.94117647,0,0,97.84172662,0.906097624,1.97343082,28.45170706,10.70224822,0.408823529,0.529411765,0.654450262,13.87434555,75,4.581151832,1.308900524,4.581151832,0
124,eda,wt,f,5.460587326,0.964333333,30.00268942,1106.694527,877.3755806,1023.292012,857.3765314,704.1256232,652.9193804,897.902768,752.0614576,735.2067609,612.8288968,0,0.006666667,0.026,0.072666667,0.094,0.122,0.04,0.102,0.109333333,0.052449965,0.553480289,0.071692852,20.4901722,0.692333333,0.039533333,22.7381171,0.865952844,75,50,75,75,75,50,75,50,100,100,100,100,1.1,1,1.1,1.2,26.32524363,3.181431617,0.147402947,0.018443887,0.135786875,0.019261031,56.99498272,8.49362603,7.597028349,0.418907828,0.114106022,0.020770592,0.17263743,0.02278336,44.55866885,6.048583109,7.575665951,0.502653072,0.136296279,0.022390499,0.14575067,0.017240974,52.68241712,6.885520967,7.576253778,0.415265855,0.114396405,0.017281843,0.172302848,0.016875815,44.35744576,5.375139592,7.564210827,0.420348527,26.66666667,33.33333333,33.33333333,6.666666667,0,0,97.56097561,1.050420168,2.086834734,26.12422982,2.999130425,0.314705882,0.387096774,0.388098318,20.31047865,74.90297542,2.069857697,1.423027167,0.905562743,0
132,ctrl,wt,f,2.9589169,1.034833333,29.703847,666.696176,375.7832787,395.9999213,367.9786929,207.5596227,543.3281758,470.8302034,168.7453407,485.2521274,421.7775978,0.175882745,0.538,0.408,0.333333333,0.706,0.248666667,0.207333333,0.718666667,0.157333333,0.452035887,0.649570788,0.054144236,22.2721673,0.717933333,0.024933333,24.15514926,0.824530795,50,75,75,100,75,100,0,0,50,25,75,75,0.6,0.5,0.7,0.8,23.5167486,6.908840752,0.146731976,0.049998973,0.126632789,0.045117137,53.06918303,22.13731306,5.949237035,1.377511689,0.103445334,0.043016964,0.171942272,0.070156346,40.5428138,17.92487916,5.934081817,1.370298786,0.153107081,0.056732519,0.119379117,0.03603978,56.03097057,21.650438,6.084001899,1.288414371,0.093174692,0.04119868,0.180743759,0.067163026,37.3884043,15.44537556,5.967940213,1.338856472,6.060606061,12.12121212,3.03030303,78.78787879,0,0,99.2481203,1.197173299,2.496616827,23.4500426,6.81427316,0.714578215,0.722128378,0.738916256,22.90640394,62.56157635,6.280788177,1.108374384,5.78817734,0.615763547
133,eda,wt,f,3.025096525,0.685,29.48605863,757.228864,765.3943625,634.0853414,478.9664045,588.4741224,648.8304005,366.7913903,554.0173565,529.3590358,588.7031266,0.045969354,0.051333333,0.107333333,0.214666667,0.152,0.100666667,0.458,0.181333333,0.179333333,0.184955141,0.686342666,0.05221845,22.62884249,0.805933333,0.031466667,25.06605163,0.843820846,25,50,75,100,100,100,0,50,25,100,100,100,0.7,0.7,0.9,1.2,21.9471058,9.614774905,0.182417414,0.045253259,0.130388411,0.030346174,51.92686447,18.01789311,6.315480344,0.884168054,0.155812476,0.044868171,0.160319358,0.028982441,41.31830769,12.7610631,6.320306159,0.791445244,0.178505746,0.044855806,0.135057532,0.02737323,50.97128125,21.08833375,6.372829569,0.71496736,0.123996506,0.031817576,0.189976269,0.039990195,35.92880937,12.5438319,6.38759151,0.801392556,3.225806452,12.90322581,0,83.87096774,0,0,100,1.140679695,2.255174802,21.8039972,9.519833306,0.730958231,1.097390494,0.118906064,6.658739596,76.93222354,7.015457788,0.713436385,7.847800238,0.713436385
134,ctrl,wt,f,3.283231084,0,32.13674496,733.0946588,434.5390162,569.3180274,342.6054607,584.0659054,486.3561098,503.6049418,622.0699556,546.8177114,349.9576643,0.120586276,0.342666667,0.181333333,0.514666667,0.16,0.186666667,0.228666667,0.132,0.193333333,0.544513458,0.692067727,0.043913262,22.85327679,0.8,0.0216,25.0856421,0.845703322,75,25,25,50,0,0,25,50,0,0,25,25,0.9,0.9,0.7,0.8,21.36515898,3.363920048,0.153986946,0.037792441,0.12980546,0.01949749,47.34805889,7.766744074,6.028322996,0.56822578,0.136645887,0.037556533,0.149774753,0.027459208,41.54939529,7.354297108,6.052695595,0.518519982,0.161059345,0.04153196,0.121023854,0.016933942,50.89751613,6.984744676,6.066254326,0.527276949,0.135342006,0.036638791,0.148480542,0.025546808,41.9899583,7.408887629,6.091863335,0.692156223,8.823529412,11.76470588,5.882352941,73.52941176,0,0,100,1.187166332,2.000174098,21.22654231,3.45231909,0.826709062,0.893822394,0,4.715840387,79.32285369,2.53929867,1.571946796,10.88270859,0.967351874
137,ctrl,sca,m,2.709125475,2.165166667,24.67700513,542.7240243,230.2311917,273.9633837,246.2434173,428.700336,443.4520084,542.1758597,382.5262538,115.622141,303.3636098,0.114152203,0.732666667,0.579333333,0.642666667,0.396666667,0.312,0.154,0.337333333,0.848666667,0.451345756,0.703282442,0.044884113,22.79569944,0.703293773,0.014601947,24.42063667,0.818363119,25,0,25,75,0,75,25,0,0,0,0,0,0.3,0.7,0.5,0.8,18.41675165,0.828933601,0.202159355,0.020898504,0.138538012,0.014184222,47.60272775,5.280016877,6.540318257,0.448713725,0.14758506,0.022645857,0.192462739,0.024737907,34.38452123,5.053651506,6.513147356,0.464693479,0.194173242,0.018832765,0.147005252,0.019778517,44.9649473,6.842693725,6.497745725,0.511091301,0.15385884,0.026214577,0.186473353,0.029387978,35.91928278,5.576652804,6.55137686,0.412133303,6.666666667,6.666666667,0,86.66666667,0,0,100,1.122373011,2.542074364,18.45850507,0.967130597,0.616298116,0.552464229,0,4.616998951,79.11857293,7.135362015,0.73452256,8.079748164,0.314795383
138,eda,sca,m,3.569190601,1.424833333,25.18706778,707.4508455,560.8534436,373.8546217,366.9802925,409.0111722,438.8938308,402.9282971,254.5328669,446.0907238,403.9539771,0,0.091333333,0.248,0.320666667,0.31,0.218,0.324666667,0.607333333,0.296,0.279503106,0.792127886,0.021104599,24.12430928,0.875866667,0.009933333,26.09023523,0.837948518,50,75,50,100,75,75,0,0,0,0,25,25,0.4,0.6,0.6,0.9,28.88074737,5.897699644,0.128440681,0.034861038,0.092965905,0.019855166,75.20540457,21.90454602,6.629119237,0.857199384,0.116456705,0.041699698,0.109351981,0.028321974,63.21265179,14.49899976,6.600173634,0.976660372,0.124957026,0.033377836,0.102488338,0.025503496,69.12825853,21.33101596,6.603829176,0.825099289,0.105594393,0.035467211,0.123809302,0.033533866,56.60594657,15.30432128,6.579744301,0.853912485,3.333333333,30,10,56.66666667,0,0,99.17355372,1.128560962,2.058295921,29.44408181,6.5727149,0.235462735,0.425675676,0.336134454,6.386554622,75.46218487,2.68907563,0.504201681,13.1092437,1.512605042
